src_person_id,dst_university_id,src_person,dst_university
209,408,David Card,Đại học California tại Berkeley
209,683,David Card,Đại học Princeton
210,281,David Petraeus,United States Military Academy
210,683,David Petraeus,Đại học Princeton
210,518,David Petraeus,Đại học Georgetown
211,822,Dick Cheney,Đại học Wyoming
212,205,Deval Patrick,Trường Luật Harvard
214,678,Diosdado Macapagal,Đại học Philippines
215,148,Dominique Strauss-Kahn,Sciences Po
215,667,Dominique Strauss-Kahn,Đại học Paris Nanterre
216,683,Donald Rumsfeld,Đại học Princeton
216,35,Donald Rumsfeld,Cử nhân Nghệ thuật
216,518,Donald Rumsfeld,Đại học Georgetown
217,336,Dominique de Villepin,École nationale d'administration
218,249,Diệp Kiếm Anh,Trường quân sự Hoàng Phố
219,482,Donald Tusk,Đại học Gdańsk
220,35,Doug Burgum,Cử nhân Nghệ thuật
221,804,Douglass North,Đại học Washington
221,399,Douglass North,"Đại học California, Berkeley"
222,522,Dr. Seuss,Đại học Dartmouth
223,35,Droupadi Murmu,Cử nhân Nghệ thuật
224,267,Dương Chấn Vũ,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
225,35,Doug Emhoff,Cử nhân Nghệ thuật
225,640,Doug Emhoff,Đại học Nam California
227,780,Dmitry Anatolyevich Medvedev,Đại học Tổng hợp Sankt-Peterburg
228,440,Dwight D. Eisenhower,Đại học Columbia
228,89,Dwight D. Eisenhower,Học viện Quân sự Hoa Kỳ
228,73,Dwight D. Eisenhower,Học viện Hải quân Hoa Kỳ
229,233,Dương Văn Minh,Trường Trung học phổ thông Nguyễn Đình Chiểu (Tiền Giang)
230,399,Earl Warren,"Đại học California, Berkeley"
232,427,Dịch Hội Mãn,Đại học Chiết Giang
232,416,Dịch Hội Mãn,Đại học Bắc Kinh
232,636,Dịch Hội Mãn,Đại học Nam Kinh
233,508,Edwin Linkomies,Đại học Helsinki
234,568,Edgars Rinkēvičs,Đại học Latvia
234,491,Edgars Rinkēvičs,Đại học Groningen
235,741,Edmund Barton,Đại học Sydney
236,741,Earle Page,Đại học Sydney
237,664,Edvard Beneš,Đại học Paris
238,690,Ed Rendell,Đại học Pennsylvania
239,319,Doãn Lực,Viện Hàn lâm Khoa học Liên Xô
239,267,Doãn Lực,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
240,509,Ehud Barak,Đại học Hebrew của Jerusalem
243,815,Ellen Johnson Sirleaf,Đại học Wisconsin–Madison
245,599,Elio Di Rupo,Đại học Leeds
247,798,Elias Canetti,Đại học Viên
247,803,Elias Canetti,Đại học Wien
248,531,Elżbieta Bieńkowska,Đại học Jagiellonia
249,509,Ehud Olmert,Đại học Hebrew của Jerusalem
250,480,Elizabeth Warren,Đại học George Washington
252,678,Emilio Aguinaldo,Đại học Philippines
254,590,Emmerson Mnangagwa,Đại học Luân Đôn
254,830,Emmerson Mnangagwa,Đại học Zambia
254,579,Emmerson Mnangagwa,Đại học London
255,672,Enrico Letta,Đại học Pisa
258,35,Eric Holcomb,Cử nhân Nghệ thuật
259,783,Eugenia Charles,Đại học Toronto
259,189,Eugenia Charles,Trường Kinh tế và Khoa học Chính trị London
261,490,Ernst Kaltenbrunner,Đại học Graz
262,344,Esther Duflo,École normale supérieure
263,606,Ernest Lawrence,Đại học Minnesota
263,399,Ernest Lawrence,"Đại học California, Berkeley"
263,408,Ernest Lawrence,Đại học California tại Berkeley
264,568,Evika Siliņa,Đại học Latvia
267,667,Emmanuel Macron,Đại học Paris Nanterre
267,148,Emmanuel Macron,Sciences Po
267,336,Emmanuel Macron,École nationale d'administration
267,345,Emmanuel Macron,Viện Nghiên cứu Chính trị Paris
267,194,Emmanuel Macron,Trường Hành chính quốc gia (Pháp)
267,344,Emmanuel Macron,École normale supérieure
268,690,Elon Musk,Đại học Pennsylvania
268,35,Elon Musk,Cử nhân Nghệ thuật
269,480,Faure Gnassingbé,Đại học George Washington
271,678,Ferdinand Marcos,Đại học Philippines
273,421,Finn E. Kydland,Đại học Carnegie Mellon
274,653,Francesco Crispi,Đại học Palermo
276,399,Francisco I. Madero,"Đại học California, Berkeley"
277,89,Fidel Ramos,Học viện Quân sự Hoa Kỳ
277,281,Fidel Ramos,United States Military Academy
278,683,F. Scott Fitzgerald,Đại học Princeton
278,310,F. Scott Fitzgerald,University of Virginia
279,829,Franjo Tuđman,Đại học Zagreb
281,173,Franco Modigliani,The New School
281,440,Franco Modigliani,Đại học Columbia
281,421,Franco Modigliani,Đại học Carnegie Mellon
281,484,Franco Modigliani,Đại học Duke
283,548,Franz Oppenheimer,Đại học Keio
287,335,François Arago,École Polytechnique
288,562,Fidel Castro,Đại học La Habana
291,659,François Hollande,Đại học Panthéon-Assas
291,148,François Hollande,Sciences Po
291,336,François Hollande,École nationale d'administration
292,35,Franklin D. Roosevelt,Cử nhân Nghệ thuật
292,840,Franklin D. Roosevelt,Đại học Virginia
293,736,Fredrik Reinfeldt,Đại học Stockholm
295,479,Friedrich Hayek,Đại học Freiburg
295,426,Friedrich Hayek,Đại học Chicago
295,798,Friedrich Hayek,Đại học Viên
295,803,Friedrich Hayek,Đại học Wien
295,668,Friedrich Hayek,Đại học New York
295,224,Friedrich Hayek,Trường Kinh tế và Khoa học Chính trị Luân Đôn
296,364,Frederik X của Đan Mạch,Đại học Aarhus
297,589,Franz Kafka,Đại học Ludwig Maximilian München
298,690,Donald Trump,Đại học Pennsylvania
299,664,François Mitterrand,Đại học Paris
299,148,François Mitterrand,Sciences Po
300,834,Furukawa Shuntaro,Đại học Waseda
301,397,Friedrich Merz,Đại học Bonn
301,591,Friedrich Merz,Đại học Marburg
303,834,Fukuda Yasuo,Đại học Waseda
305,664,Gaston Doumergue,Đại học Paris
306,775,Fukuda Takeo,Đại học Tokyo
308,53,George Canning,Eton College
310,399,George Akerlof,"Đại học California, Berkeley"
310,518,George Akerlof,Đại học Georgetown
310,408,George Akerlof,Đại học California tại Berkeley
310,224,George Akerlof,Trường Kinh tế và Khoa học Chính trị Luân Đôn
310,290,George Akerlof,"University of California, Berkeley"
311,659,Gabriel Attal,Đại học Panthéon-Assas
311,148,Gabriel Attal,Sciences Po
312,53,George Grenville,Eton College
317,30,George Tenet,Georgetown University
317,518,George Tenet,Đại học Georgetown
320,440,George Stigler,Đại học Columbia
320,398,George Stigler,Đại học Brown
320,426,George Stigler,Đại học Chicago
320,804,George Stigler,Đại học Washington
324,572,Georgy Maksimilianovich Malenkov,Đại học Kỹ thuật Quốc gia Moskva Bauman
326,426,Gary Becker,Đại học Chicago
326,440,Gary Becker,Đại học Columbia
326,683,Gary Becker,Đại học Princeton
326,291,Gary Becker,University of Chicago
329,148,Georges Pompidou,Sciences Po
331,408,Gavin Newsom,Đại học California tại Berkeley
333,631,Giorgio Napolitano,Đại học Napoli Federico II
334,473,Giovanni Spadolini,Đại học Firenze
336,672,Giuliano Amato,Đại học Pisa
337,715,Giulio Andreotti,Đại học Roma La Sapienza
340,632,Gerald Ford,Đại học Michigan
342,485,Giang Trạch Dân,Đại học Giao thông Thượng Hải
342,267,Giang Trạch Dân,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
342,337,Giang Trạch Dân,Viện Khoa học Trung Quốc
343,764,Giả Xuân Vượng,Đại học Thanh Hoa
347,721,Giuseppe Conte,Đại học Roma Sapienza
348,741,Gough Whitlam,Đại học Sydney
349,518,Gloria Macapagal Arroyo,Đại học Georgetown
349,678,Gloria Macapagal Arroyo,Đại học Philippines
350,480,Glenn Greenwald,Đại học George Washington
350,668,Glenn Greenwald,Đại học New York
352,775,Gotō Fumio,Đại học Tokyo
353,571,Gordon Brown,Đại học Leiden
353,481,Gordon Brown,Đại học Edinburgh
355,440,Gray Davis,Đại học Columbia
356,683,Golda Meir,Đại học Princeton
358,825,Grzegorz Schetyna,Đại học Wrocław
359,650,Gro Harlem Brundtland,Đại học Oslo
359,310,Gro Harlem Brundtland,University of Virginia
361,397,Guido Westerwelle,Đại học Bonn
362,493,Gustav Holst,Đại học Glasgow
362,152,Gustav Holst,Somerville College
364,399,Gérard Debreu,"Đại học California, Berkeley"
365,755,Greg Abbott,Đại học Texas tại Austin
366,798,Gustav Mahler,Đại học Viên
367,35,Gretchen Whitmer,Cử nhân Nghệ thuật
368,664,Habib Bourguiba,Đại học Paris
371,411,H3h3Productions,Đại học California
374,696,Halimah Yacob,Đại học Quốc gia Singapore
375,775,Hara Takashi,Đại học Tokyo
376,202,Harold Alexander,Trường Harrow
377,614,Harold Holt,Đại học Melbourne
378,712,Han Duck-soo,Đại học Quốc gia Seoul
379,810,Giáo hoàng Lêô XIV,Đại học Villanova
382,508,Harri Holkeri,Đại học Helsinki
383,426,Harry Markowitz,Đại học Chicago
386,775,Hayashi Yoshimasa,Đại học Tokyo
390,775,Hatoyama Yukio,Đại học Tokyo
390,521,Hatoyama Yukio,Đại học Hồng Kông
391,480,Harry Reid,Đại học George Washington
393,430,Helle Thorning-Schmidt,Đại học Copenhagen
394,344,Henri Bergson,École normale supérieure
394,664,Henri Bergson,Đại học Paris
395,481,"Henry John Temple, Tử tước Palmerston thứ 3",Đại học Edinburgh
398,500,Helmut Schmidt,Đại học Hamburg
401,35,Henry L. Stimson,Cử nhân Nghệ thuật
401,205,Henry L. Stimson,Trường Luật Harvard
404,748,Henry McMaster,Đại học South Carolina
406,505,Helmut Kohl,Đại học Heidelberg
408,35,Henry Kissinger,Cử nhân Nghệ thuật
410,775,Hiranuma Kiichirō,Đại học Tokyo
412,566,Heinrich Himmler,Đại học Kỹ thuật München
413,782,Horst Köhler,Đại học Tübingen
415,35,Hope Hicks,Cử nhân Nghệ thuật
416,764,Hoàng Cúc,Đại học Thanh Hoa
417,79,Hosni Mubarak,Học viện Quân sự Frunze
418,579,Htin Kyaw,Đại học London
418,837,Htin Kyaw,Đại học Yangon
419,606,Hubert Humphrey,Đại học Minnesota
421,449,Hoài Tiến Bằng,Đại học Công nghiệp Cáp Nhĩ Tân
421,337,Hoài Tiến Bằng,Viện Khoa học Trung Quốc
421,434,Hoài Tiến Bằng,Đại học Cát Lâm
421,267,Hoài Tiến Bằng,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
421,440,Hoài Tiến Bằng,Đại học Columbia
422,366,Hillary Clinton,Đại học Arkansas
422,440,Hillary Clinton,Đại học Columbia
422,683,Hillary Clinton,Đại học Princeton
423,815,Hoàng Tuần Tài,Đại học Wisconsin–Madison
423,632,Hoàng Tuần Tài,Đại học Michigan
424,754,Hwang Kyo-ahn,Đại học Sungkyunkwan
425,518,Hunter Biden,Đại học Georgetown
427,707,Hà Vệ Đông,Đại học Quốc phòng Trung Quốc
427,267,Hà Vệ Đông,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
430,416,Hạ Bảo Long,Đại học Bắc Kinh
432,253,Hạ Quân Khoa,Trường Đại học Công nghệ Quốc phòng Trung Quốc
433,744,Hàn Chính (chính khách),Đại học Sư phạm Hoa Đông
434,440,Hugo Chávez,Đại học Columbia
435,346,Ian Brossat,École normale supérieure de Lyon
436,81,Ilya Yefimovich Repin,Học viện Nghệ thuật Hoàng gia Nga
437,560,Ikeda Hayato,Đại học Kyoto
438,598,Ingvar Carlsson,Đại học Lund
439,267,Hạ Vinh,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
441,548,Inukai Tsuyoshi,Đại học Keio
442,440,Isaac Asimov,Đại học Columbia
442,393,Isaac Asimov,Đại học Boston
443,433,Isaac Herzog,Đại học Cornell
443,668,Isaac Herzog,Đại học New York
444,548,Ishiba Yoshiko,Đại học Keio
447,775,Itō Masayoshi,Đại học Tokyo
449,834,Ishibashi Tanzan,Đại học Waseda
452,719,Izumi Kenta,Đại học Ritsumeikan
453,490,Ivo Andrić,Đại học Graz
453,798,Ivo Andrić,Đại học Viên
454,518,Iván Duque Márquez,Đại học Georgetown
455,690,Ivanka Trump,Đại học Pennsylvania
455,518,Ivanka Trump,Đại học Georgetown
456,493,J. M. Barrie,Đại học Glasgow
456,481,J. M. Barrie,Đại học Edinburgh
457,764,Hồ Cẩm Đào,Đại học Thanh Hoa
457,267,Hồ Cẩm Đào,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
457,337,Hồ Cẩm Đào,Viện Khoa học Trung Quốc
458,366,J. William Fulbright,Đại học Arkansas
458,480,J. William Fulbright,Đại học George Washington
459,548,Ishiba Shigeru,Đại học Keio
461,148,Jacques Chaban-Delmas,Sciences Po
462,579,Itō Hirobumi,Đại học London
463,579,Jacek Rostowski,Đại học London
463,188,Jacek Rostowski,Trường Kinh tế London
463,224,Jacek Rostowski,Trường Kinh tế và Khoa học Chính trị Luân Đôn
463,590,Jacek Rostowski,Đại học Luân Đôn
466,379,JD Vance,Đại học Bang Ohio
468,664,Jacques-Louis David,Đại học Paris
469,466,James Buchanan,Đại học Dickinson
471,291,James Comey,University of Chicago
472,426,James Heckman,Đại học Chicago
472,683,James Heckman,Đại học Princeton
472,440,James Heckman,Đại học Columbia
473,643,James K. Polk,Đại học North Carolina ở Chapel Hill
474,336,Jacques Chirac,École nationale d'administration
474,148,Jacques Chirac,Sciences Po
476,481,James Mirrlees,Đại học Edinburgh
476,614,James Mirrlees,Đại học Melbourne
478,840,James R. Schlesinger,Đại học Virginia
479,840,James M. Buchanan,Đại học Virginia
479,426,James M. Buchanan,Đại học Chicago
480,484,J. B. Pritzker,Đại học Duke
480,35,J. B. Pritzker,Cử nhân Nghệ thuật
480,426,J. B. Pritzker,Đại học Chicago
482,808,James Monroe,Đại học William & Mary
483,683,James Madison,Đại học Princeton
483,35,James Madison,Cử nhân Nghệ thuật
486,75,Jan Matejko,Học viện Mỹ thuật Jan Matejko
486,531,Jan Matejko,Đại học Jagiellonia
487,581,Janez Drnovšek,Đại học Ljubljana
488,264,Hồ Chí Minh,Trường Đại học Lao động Cộng sản Phương Đông
488,234,Hồ Chí Minh,Trường Trung học phổ thông chuyên Quốc Học
489,433,Janet Reno,Đại học Cornell
490,494,Jan Eliasson,Đại học Gothenburg
490,800,Jan Eliasson,Đại học Uppsala
491,398,Janet Yellen,Đại học Brown
491,408,Janet Yellen,Đại học California tại Berkeley
491,188,Janet Yellen,Trường Kinh tế London
492,470,J. K. Rowling,Đại học Exeter
492,481,J. K. Rowling,Đại học Edinburgh
495,125,Jared Kushner,New York University
496,581,Janez Janša,Đại học Ljubljana
500,565,Jean Chrétien,Đại học Laval
501,664,Jean Casimir-Perier,Đại học Paris
502,683,Jared Polis,Đại học Princeton
504,392,Javier Milei,Đại học Belgrano
504,35,Javier Milei,Cử nhân Nghệ thuật
505,35,Janet Mills,Cử nhân Nghệ thuật
506,804,Jay Inslee,Đại học Washington
507,339,Jean Tirole,École nationale des ponts et chaussées
507,335,Jean Tirole,École Polytechnique
507,664,Jean Tirole,Đại học Paris
508,664,Jean-Luc Godard,Đại học Paris
510,795,Jarosław Kaczyński,Đại học Warsaw
510,802,Jarosław Kaczyński,Đại học Warszawa
512,808,Jen Psaki,Đại học William & Mary
512,812,Jen Psaki,Đại học William và Mary
513,755,Jeb Bush,Đại học Texas tại Austin
515,683,Jeff Bezos,Đại học Princeton
517,743,Jean-Claude Juncker,Đại học Strasbourg
518,650,Jens Stoltenberg,Đại học Oslo
520,290,Jerry Brown,"University of California, Berkeley"
522,312,Jim Webb,University of Southern California
522,30,Jim Webb,Georgetown University
522,73,Jim Webb,Học viện Hải quân Hoa Kỳ
522,640,Jim Webb,Đại học Nam California
522,518,Jim Webb,Đại học Georgetown
524,441,Jim McGreevey,Đại học Công giáo Hoa Kỳ
524,440,Jim McGreevey,Đại học Columbia
524,518,Jim McGreevey,Đại học Georgetown
527,508,Johan Wilhelm Rangell,Đại học Helsinki
528,460,Jill Biden,Đại học Delaware
528,35,Jill Biden,Cử nhân Nghệ thuật
528,810,Jill Biden,Đại học Villanova
529,224,John Atta Mills,Trường Kinh tế và Khoa học Chính trị Luân Đôn
529,189,John Atta Mills,Trường Kinh tế và Khoa học Chính trị London
531,635,John Abbott,Đại học McGill
532,430,Johannes Vilhelm Jensen,Đại học Copenhagen
534,35,Jim Justice,Cử nhân Nghệ thuật
535,683,John C. Breckinridge,Đại học Princeton
536,89,John Bel Edwards,Học viện Quân sự Hoa Kỳ
538,310,John C. Calhoun,University of Virginia
540,399,Jerome Adams,"Đại học California, Berkeley"
541,683,John Foster Dulles,Đại học Princeton
541,480,John Foster Dulles,Đại học George Washington
546,805,John Hickenlooper,Đại học Wesleyan
547,741,John Howard,Đại học Sydney
548,62,Jimmy Carter,Học viện Công nghệ Georgia
548,73,Jimmy Carter,Học viện Hải quân Hoa Kỳ
549,224,John F. Kennedy,Trường Kinh tế và Khoa học Chính trị Luân Đôn
549,683,John F. Kennedy,Đại học Princeton
549,35,John F. Kennedy,Cử nhân Nghệ thuật
550,440,John Jay,Đại học Columbia
551,224,John Hicks,Trường Kinh tế và Khoa học Chính trị Luân Đôn
